region,anomaly_type,count,avg_severity
Республика Северная Осетия — Алания,geographic_anomaly,23,94.06521739130434
Республика Северная Осетия — Алания,logical_inconsistency,197,65.6041116751269
Республика Северная Осетия — Алания,statistical_outlier,12,81.66666666666667
Республика Татарстан,cross_source_discrepancy,45,70.0
Республика Татарстан,geographic_anomaly,114,92.8157894736842
Республика Татарстан,logical_inconsistency,12,62.41583333333333
Республика Татарстан,statistical_outlier,38,72.63157894736842
Республика Тыва,cross_source_discrepancy,18,70.0
Республика Тыва,geographic_anomaly,29,93.39655172413794
Республика Тыва,logical_inconsistency,45,66.19355555555556
Республика Тыва,statistical_outlier,14,85.71428571428571
Республика Хакасия,cross_source_discrepancy,13,70.0
Республика Хакасия,geographic_anomaly,21,90.71428571428571
Республика Хакасия,logical_inconsistency,6,60.0
Республика Хакасия,statistical_outlier,5,66.0
Ростовская область,cross_source_discrepancy,55,70.0
Ростовская область,geographic_anomaly,99,92.31818181818181
Ростовская область,statistical_outlier,34,69.41176470588235
Рязанская область,cross_source_discrepancy,28,70.0
Рязанская область,geographic_anomaly,53,93.00943396226415
Рязанская область,logical_inconsistency,67,59.94955223880597
Рязанская область,statistical_outlier,11,79.0909090909091
Самарская область,cross_source_discrepancy,37,70.0
Самарская область,geographic_anomaly,69,92.47826086956522
Самарская область,logical_inconsistency,30,56.13866666666667
Самарская область,statistical_outlier,20,75.5
Санкт-Петербург,geographic_anomaly,132,92.67045454545455
Санкт-Петербург,logical_inconsistency,287,71.88003484320558
Санкт-Петербург,statistical_outlier,601,66.30615640599002
Саратовская область,cross_source_discrepancy,40,70.0
Саратовская область,geographic_anomaly,65,91.63076923076923
Саратовская область,logical_inconsistency,19,79.70631578947369
Саратовская область,statistical_outlier,13,80.0
Сахалинская область,cross_source_discrepancy,17,70.0
Сахалинская область,geographic_anomaly,55,91.7
Сахалинская область,logical_inconsistency,29,69.37827586206896
Сахалинская область,statistical_outlier,107,65.70093457943925
Свердловская область,cross_source_discrepancy,69,70.0
Свердловская область,geographic_anomaly,82,92.86585365853658
Свердловская область,logical_inconsistency,80,65.825875
Свердловская область,statistical_outlier,27,75.55555555555556
Севастополь,geographic_anomaly,7,97.21428571428571
Севастополь,logical_inconsistency,9,81.66666666666667
Севастополь,statistical_outlier,6,63.333333333333336
Смоленская область,cross_source_discrepancy,27,70.0
Смоленская область,geographic_anomaly,71,95.05633802816901
Смоленская область,logical_inconsistency,71,61.574929577464786
Смоленская область,statistical_outlier,8,70.0
Ставропольский край,cross_source_discrepancy,33,70.0
Ставропольский край,geographic_anomaly,82,91.76829268292683
Ставропольский край,logical_inconsistency,118,64.12271186440678
Ставропольский край,statistical_outlier,35,64.57142857142857
Тамбовская область,cross_source_discrepancy,30,70.0
Тамбовская область,geographic_anomaly,76,94.71052631578948
Тамбовская область,logical_inconsistency,32,76.6746875
Тамбовская область,statistical_outlier,11,70.0
Тверская область,cross_source_discrepancy,38,70.0
Тверская область,geographic_anomaly,88,90.86363636363636
